Gene	SRR3719478	SRR3719504	SRR3719505	SRR3719506	SRR3719510	SRR3719511	SRR3719533	SRR3719534	SRR3719535	SRR3719539	SRR3719541	SRR3719544	SRR3719545	SRR3719562	SRR3719563	SRR3719564	SRR3719565	SRR3719566	SRR3719567	SRR3719568	SRR3719569	SRR3719571	SRR3719572	SRR3719573	SRR3719574	SRR3719625	SRR3719629	SRR3719644	SRR3719645	SRR3719646	SRR3719647	SRR3719653	SRR3719654	SRR3719655	SRR3719656	SRR3719657	SRR3719691	SRR3719692	SRR3719693	SRR3719695	SRR3719696	SRR3719708	SRR3724190	SRR3724307	SRR3724308	SRR3724309	SRR3724310	SRR3724311	SRR3724312	SRR3724315	SRR3724357	SRR3724365	SRR3724366	SRR3724382	SRR3724388	SRR3724456	SRR3724464	SRR3724465	SRR3724466	SRR3724467	SRR3724468	SRR3724469	SRR3724470	SRR3724482	SRR3724508	SRR3724533	SRR3724534	SRR3724641	SRR3724643	SRR3724644	SRR3724645	SRR3724646	SRR3724647	SRR3724648	SRR3725015	SRR3725054	SRR3725353	SRR3725354	SRR3725355	SRR3725726	SRR3725727	SRR3725728	SRR3725729	SRR3725730	SRR3725731
Bin_metabat_SRR3719505.72	0	0.000869872	0.002348782	0	0	0	0	0.001675361	0	0	0	0	0	5.59518E-05	0	0.000430948	0.002085947	0	0	0	0	0	0.000210358	0.000163596	0	0	0	0	0.000327324	0.000523454	0.000677066	0	0	0	0	0	0	0.000393877	0.000642832	7.0918E-05	0.000110887	6.75808E-05	0	0	0	0.000200042	0.000753466	0	0	0	0	0	0	0.000211819	0	0	0	0	0	0	0.00013091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.79968E-05
Bin_metabat_SRR3719565.72	0	0	0.000101721	0	0	0	0	8.84028E-05	0	0	0	0	6.41353E-05	0.000659482	0.000270895	0.000245921	0.008995414	0	0	5.92911E-05	0.000217745	0.000358554	0.000519945	0.000374173	0	0	8.78726E-05	0.000110334	0.000409973	0.000306298	0.000213063	0	0	0	0	0	8.1096E-05	0.000843142	0.001169252	0.000202017	0.000285441	0.000224001	0	0	0	0	8.7274E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25761E-05	0.000283602	0.000635725	0	0	0	0.000182453	0	0.000447193	0	0	0	0	0	0.00021514	0	0	0.000230446	0	0	0	0.00099617
Bin_metabat_SRR3719566.24	0	0	0	0	0	0	0	0	0	0.001058246	0	5.18108E-05	0	0	7.84895E-05	0	0	0.001924234	5.95877E-05	0	0	0	0	0	0.00017644	0	0	0	0	0	0	0.000201663	0	0	0.001097287	0	0	0	0	0	0	0	0.000754989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001712496	0	0.000102053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin_metabat_SRR3724648.51	0.002333332	0.000816968	0.000752425	0.003527033	0.002832946	0.001622856	0.002829926	0.000423397	0.002185159	7.47848E-05	0.001412026	0.004746262	0.003729984	0.001343116	0.002561609	0.000301233	0.000671446	0.00024155	0.004292859	0.003478145	0.002661612	0.000652783	0.000434297	0.000291731	7.85097E-05	0.004394239	0.002629002	0.001612628	0.000455463	0.00031106	0.000139453	7.45347E-05	0.003266919	0.003342724	0	0.003660871	0.00407631	0.000764798	0.000468398	0.002075444	0.001758782	0.002336232	0	0.002518919	0.001802684	0.001631204	0.001072216	0.002538045	0.002482643	0.002114992	0.00242214	0.001844535	0.00170385	0.00083885	0.001448672	0.003336472	0.00320232	0.002778174	0.002963769	0.000996435	0.000608661	0.004244749	0.002722515	0.001101245	0.001096628	0.001816456	0	0.001083043	0.004229271	0.000986283	0.000588503	0.000957315	0.006563735	0.002400188	0.002335123	0.009305547	0.004338601	0.00094864	0.000793653	0.002527266	0.001129365	0.004055402	0.000964775	0.000378856	0.000617774
Bin_metabat_SRR3719657.1	0.000949194	0.000372596	0.000230834	0.001672783	0.001318665	0.000422806	0.000973227	0.000165187	0.000368206	0	0.0002176	0.000465553	0.000635035	0.000225046	0.000357514	0.000185864	0.000114083	0	0.000743629	0.000501	0.000272774	6.62775E-05	5.33824E-05	4.08582E-05	0	0.000914028	0.000543137	0.00013201	5.92995E-05	7.59139E-05	6.47909E-05	0	0.002012511	0.001650004	0	0.001865011	0.00052642	6.83008E-05	5.0013E-05	0.000218326	0.000183471	0.000252895	0	0.000527308	0.000178723	0.000211196	0.000223555	0.000629214	0.00111799	0.000495994	0.000673385	0.000556658	0.000225994	0.000155239	0	0.000636659	0.000894033	0.000709744	0.000899296	0	0.000103555	0.000371925	0.000539701	0.000408143	0.000429899	0.000332454	0	0.00022147	0.000389217	0.000262923	0.000214954	0.000224882	0.000504235	0.000311623	0.000267828	0.000697548	0.000437643	0.000263807	6.07756E-05	0.000218203	0	0.000194819	0	0	4.65243E-05
Bin_metabat_SRR3724482.71	0	0	8.94028E-05	0	0	5.50528E-05	0	7.70906E-05	0	0	0	0.000101509	0.000370836	0.000702069	0.000586219	0.000518338	0.000735801	0	8.89956E-05	0.000147538	0.000243963	0.000121672	0.000127923	0.000102199	0	8.11193E-05	0.000168114	0.00013844	8.69707E-05	0.000127547	0.000190861	0	0	0	0	0	0.00011724	0.000109391	0.000123349	0.00019139	0.000182349	0.000136768	0	0	0	0.000155392	0.000141625	0	4.88225E-05	0	0	0	0	0.000116168	0	0.00144505	0	0	0	0	0	0.000116891	0	0.002233262	0.000976704	0	0	0.000812264	0.000728602	0.000604963	0.0006496	0.000287473	0.000111759	0.00014254	0	0	0	0.000591701	6.35254E-05	0.000101519	0	0	0	0	5.97591E-05
Bin_metabat_SRR3724468.37	0.000312994	0.004299732	0.00523155	0.00013011	0.000514746	0.000950876	0	0.004443181	0.000201703	0	0.000706749	0	0	0	0	0	0.000124751	0	0	0	0	0	7.09961E-05	0	0	0	0	0	8.65736E-05	0.000111183	0.000111913	0	0.000252194	0.000465249	0	0.000346864	0	0.000101538	0.000125922	0	0	0	0	0.000461452	0	0.003201625	0.002422885	0	0.000205631	0.000122182	9.86608E-05	0.000305781	0.000528807	0.001200395	0	0.000178626	0.000287333	0.000426461	0.000458788	0.006003262	0.004583489	0	0.000490963	0.000522789	0.001235577	0.006913786	0	0.000595874	0.000106233	0.001531513	0.000661323	0.005020977	0	0	0	0	0	0.000735322	0.000161256	0	0	0	0.000252114	0	8.4321E-05
Bin_metabat_SRR3724470.42	0.018078672	0.002623975	0.000385545	0.023281789	0.013863445	0.01875845	0.025424705	0.000274905	0.014662364	0.000815748	0.016895463	0.000899305	0.000879317	0.000202264	0.000710543	0	5.8583E-05	0.001679067	0.003509117	0.006716563	0.008543616	0.003430413	0.000737926	0.002316284	0.000229125	0.005252941	0.008447573	0.005884176	0.000429239	0.000568232	0.000710087	0.015953761	0.014856477	0.012796722	0.003454345	0.010343646	0.017984539	0.001287455	0.000202824	0.004396222	0.004983593	0.003318668	0.000103449	0.01677366	0.018368747	0.000161903	0.000146654	0.0011614	0.005894288	0.010068484	0.000985438	0.004746523	0.001682882	0.000102379	0.04310808	0.00130963	0.034236678	0.023754269	0.026619239	0.000859621	0.000702477	0.002872775	0.020152514	0.0002087	0.000262858	0	0.039550273	0.001213488	0.001871138	0.000222867	0.000915772	0.000200098	0.00872078	0.00581437	0.008842612	0.005245103	0.006486654	0.000503331	0.000753602	0.002822255	0.000350533	0.005266193	0.000146883	0.001671348	0.001128067
Bin_metabat_SRR3725726.32	0	0.000268733	0.000593228	9.85498E-05	0.000313237	0.000304253	0	0.000599221	5.56225E-05	0	0.00053877	4.10419E-05	8.4208E-05	0.00029762	0.000271149	0.000235752	0.000442677	0	4.6471E-05	8.10815E-05	0.000139566	9.08622E-05	0.000117406	0.000132172	0	4.89527E-05	0.000125861	0.000191077	0.000195308	0.000139512	0.000216341	0	0.000149633	0.000239117	0	0.000136886	0.000114558	0.000120056	0.000153112	0.000154934	0.000168173	0.000136454	0	0.000413755	0	0.000590247	0.000407173	4.9267E-05	0.000183033	0	7.8151E-05	0.000240565	0.000312103	0.000560121	0	0.000657652	0.000126433	0.000322027	0.000258943	0.000264969	0.000170494	9.82226E-05	0.00037675	0.00111223	0.001521879	0.000580716	0	0.000608983	0.000218975	0.000846814	0.000687057	0.000879846	0.000176165	0.001062716	0.003259869	0.000225028	0.001395689	0.001179423	0.000763523	0.006723922	0.003694038	0.000305326	0.00121884	0.000535297	0.000599923
Bin_metabat_SRR3725355.12	0.000210885	0.000369435	0.000479015	0	0.000203676	0.000306588	0	0.000432623	0.00029243	0	0.000215559	0.000106189	0.000370204	0.0005393	0.000515648	0.000613366	0.000442338	0	0.00016469	0.000259197	0.000519175	0.000477902	0.000287369	0.00031172	0	0.000166291	0.000528977	0.000582753	0.000514956	0.00028857	0.000260682	0	8.37319E-05	0.00014971	0	0.000120352	0.000347575	0.000403254	0.000312941	0.000804485	0.000849459	0.001216023	0	0.000238169	0	0.000357951	0.000668206	0.000110071	0.000167318	0	0.000122781	0.000325822	0.000169939	0.00023366	0	0.000780346	0.000188699	0.000171661	0.000182183	0.000176478	0.000352986	0	0.000209058	0.000877928	0.001133217	0.000431698	0	0.000412475	0.000304107	0.000239833	0.000333476	0.00017408	0.000319956	0.002037751	0.002379993	0.000238333	0.001280367	0.001641241	0.002577178	0.001817653	0.001395441	5.88996E-05	0.001735194	9.41952E-05	0.000384158
Bin_metabat_SRR3725726.39	0	0	9.6232E-05	0	0	0	0	4.92651E-05	0	0	0	0.000135315	0.000608224	0.001282177	0.00105894	0.000349183	0.002523165	0	0.000156486	0.000284622	0.000458871	0.000231162	0.00027773	0.000236708	0	0.000105197	0.000309568	0.000216763	0.000190724	0.000106818	6.15676E-05	0	0	0	0	0	0.000171059	0.000210057	0.000289769	0.000371198	0.000332776	0.000267163	0	0	0	0.000238555	0.000256628	0	0	0	0	0	0	0.000352197	0	0.000130203	0	0	0	0	0	0	0	0.000427569	0.000898413	0.000311536	0	0.000115341	0.000139958	0.000159618	0.000109035	0.000255018	0	0	0	0	0	0.000853251	0.000845702	0.008138127	0.002712846	6.14721E-05	0.001131515	8.16766E-05	0.000436269
Bin_metabat_SRR3719566.45	0	0	0	6.99501E-05	6.06466E-05	0	0.000242943	4.10099E-05	0.000134977	0.012507361	5.51493E-05	0.000403511	0.00035235	0.000166606	0.000456544	0.000121004	0.000102879	0.006442578	0.000329462	0.000282259	0.00016997	6.64224E-05	6.80611E-05	8.99704E-05	0.01317333	0.000208329	0.000116266	4.11552E-05	3.49932E-05	5.83664E-05	6.31496E-05	0.001879338	7.18108E-05	6.15619E-05	0.003863133	7.93536E-05	0.00011502	0	0	6.84476E-05	6.47931E-05	8.65762E-05	0.006425271	0	0.000270108	0	0	9.1951E-05	0.00023435	0.000198842	9.18314E-05	0	0	0	0.000150663	0	5.75011E-05	0	0	0	0	0	0	0	0	0	0.001200219	0	0.000452747	0	0	0	0	0	0	0	0	0	0	0	0	0.000115007	0	0	5.49563E-05
Bin_metabat_SRR3724644.27	0	0.000235824	0.000133974	0	0	0	0	0.000222204	0	0	0	0	0	0	0	8.39387E-05	0.001102488	0	0	0	0	0	9.5793E-05	0	0	0	0	0	0.000230884	0.000303041	0.000186502	0	0	0	0	0	0	0	0.000122501	0	0	0	0	0	0	0	0.000182739	0	0	0	0	0	0	0.000453764	0	0	0	0	0	0.000298312	0.000196215	0	0	0.000296003	0.000737716	0.002283223	0	0.000317256	0	0.003607303	0.000600851	0.002545108	0	0	0	0	0	0.000618781	0.00019093	0	0.000535869	0	0.001186622	0.000286999	0.003064855
Bin_metabat_SRR3719539.76	0	0	0	0	0	0	0	0	0	0.002028511	0	0	0	0	0	0	0	0.00038616	0	0	0	0	0	0	0.003135756	0	0	0	0	0	0	4.63615E-05	0	0	0.001226822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin_metabat_SRR3725731.39	8.28777E-05	0.000968111	0.00153691	0	0	0.000169289	0	0.001441901	7.22541E-05	0	0.000138105	0	0	0.000150564	7.37144E-05	0.000956943	0.001586939	0	0	8.73847E-05	0.000278051	0.000558369	0.001046902	0.00089938	0	0	0.000191693	0.000324177	0.001295556	0.001373401	0.001072189	0	0	0	0	0	0.000131357	0.001015873	0.001164261	0.000764581	0.000889116	0.00080216	0	0.00020899	0	0.001244286	0.001283792	0	0	0	0	7.37419E-05	0.000174231	0.001000685	0	0.000231684	0	0.000144589	0.000131365	0.001125817	0.001208196	0	0.000233874	0.000748925	0.001471455	0.003448989	0	0.000587969	4.85681E-05	0.001361877	0.00070209	0.002378383	7.80132E-05	0.000493086	0.001072894	5.95965E-05	0.0002232	0.001623191	0.001710068	0.000209012	0.002448824	0	0.002208679	0.000960276	0.002810911
Bin_metabat_SRR3719565.73	0	0.000118939	0.000251403	0	4.86022E-05	6.74235E-05	0	0.00022627	0	0	0.000134322	4.35333E-05	8.48166E-05	0.000395579	0.000325681	0.000544975	0.00134995	0	6.75256E-05	0.000136664	0.000302555	0.000236904	0.000400572	0.000448734	0	9.34691E-05	0.000296201	0.000590581	0.000834977	0.000647469	0.000978127	0	0	3.52478E-05	0	0	0.000317916	0.000487487	0.000685478	0.000477483	0.000512141	0.00039607	0	0	0	0.000210758	0.000152149	0	0	0	0	0	0	0.000143065	0	0	0	7.21457E-05	5.86041E-05	0.000128118	9.36285E-05	0	0	0	0.00011813	0.000343539	0	0	0	0.000169365	7.39755E-05	0.000296268	0	0	0	0	0	0.000121952	8.77245E-05	0.000114843	0.000333463	8.33739E-05	0.000327529	0.000321103	0.000405558
Bin_metabat_SRR3719708.44	7.81201E-05	9.91274E-05	8.53452E-05	0	0.000141181	0.000339182	0	9.63429E-05	0.000314075	0	0.000395825	0.000155562	0.000470296	0.001236995	0.000812762	0.0005271	0.000529046	0	0.000242096	0.000445868	0.000887154	0.000842821	0.000957954	0.001177576	0	0.000121048	0.00036637	0.000633664	0.00077886	0.000624346	0.001079863	0	8.43473E-05	0.000118631	0	0.000110702	0.000533435	0.001014948	0.001631736	0.003308552	0.003512113	0.003317378	0	0.000244362	0	0.000183992	0.000178603	8.5482E-05	0.000171399	0	0.000158868	0.000236886	0.000494098	0.00047775	0	0.000193561	0	0.000137528	0.00011956	0.000411443	0.000404663	0	0.00021544	0.000115073	0.000177451	0.000213102	0	0.000203966	0.000256658	0.00024967	0.000263697	0	0.00031015	0.000545887	0.000449429	0.000546527	0.0010566	0.000255342	0.00032376	0.000769684	0.000629726	0.000154995	0.000516643	0.000805232	0.000611069
Bin_metabat_SRR3719646.53	6.41097E-05	0.001466561	0.00134628	0	0	0.000144691	0	0.002835143	0	0	0	0	0	5.23368E-05	0	0.000690948	0.001539363	0	0	0	0	0.000197695	0.001621331	0.001691417	0	0	0	4.72393E-05	0.00551399	0.008119103	0.008164784	4.77672E-05	0	0	0	0	0	0.005093943	0.002471648	0	4.98147E-05	0.000185822	0	0.000185983	0	0.000761979	0.000689759	0	0	0	0	0	0	0.001215026	0	0	0	0.000110251	0	0.002560044	0.002342477	0	0.000147473	0.00067229	0.001611613	0.002924207	0	0.002134754	0	0.002327777	0.002021001	0.001574214	0	0	0	0	0	0.001071961	0.000376033	0	0	0	0.000621059	0.002510773	0.000678293
Bin_metabat_SRR3724388.3	0.001175999	0	0	0.00443886	0.003178836	0.00183722	0.004120685	0	0.004424483	0	0.001563877	0	0	0	0	0	0	0	0.000169735	0.0002354	0.000560284	0.000457992	5.14215E-05	0.000279828	0	0.000187358	0.000624703	0.000351048	0	0	0	0.000324267	0.003189746	0.00307326	0.000100005	0.002965671	0.002778641	0.000146266	0	0.000591267	0.000750191	0.000417552	0	0.00238892	0.001724505	0	0	0.000189121	0.004096031	0.000301715	0.000197383	0.000210595	0	0	0.006426635	0.000376522	0.007873459	0.004238177	0.004644044	0	0	0.000187919	0.002554498	0	0	0	0	0	0	0	0.000137426	0	0.004997634	0.000451117	0.000642193	0.001943104	0.001560073	0	0	0	0	0.000453573	0	9.14711E-05	0.000128245
Bin_maxbin_SRR3719656.001	0.000738874	0.000249521	0.000452277	0.002149693	0.000885693	0.000403713	0.00392633	0.000797701	0.001994986	0.053284835	0.000438898	0.005543035	0.002915936	0.001050702	0.002876018	0.000509461	0.00088878	0.100446563	0.005986185	0.003653198	0.001620341	0.000459842	0.000584079	0.000713079	0.155564829	0.005813208	0.001410517	0.00056889	0.000271985	0.000457621	0.000626912	0.027415341	0.001725101	0.001292996	0.077666455	0.001717784	0.003086529	0.000279825	0.00030909	0.000898756	0.000873329	0.001313887	0.061259668	0.00085412	0.01028551	0.000314155	0.000251391	0.006953199	0.005294616	0.005227598	0.002736743	0.001929917	0.001641499	0.001191634	0.008398418	0.001530845	0.001716239	0.000945415	0.000994704	0.00048783	0.000386178	0.003432433	0.000773601	0.000546821	0.000312252	0.000911765	0.032293914	0.000850892	0.005452962	0.000671655	0.00049755	0.000877776	0.001940758	0.000423847	0.000383706	0.002300626	0.000243237	0.000264863	8.77749E-05	0.000113213	0	0.006014466	0	0.001498791	0.001176957
Bin_metabat_SRR3719655.54	0.002255706	0.000912027	0.000310023	0.001892918	0.002921	0.001868202	0.001889936	0.000268502	0.00213063	0	0.001491956	0.000126972	0.000165895	0.000168681	0.00022849	0.000146237	0	0	0.000808786	0.000853643	0.000910407	0.000331798	0.00017548	0.000186261	0	0.000511549	0.000840648	0.000446349	0.000203825	9.52568E-05	8.41859E-05	0	0.001926283	0.002279484	0	0.002118161	0.000874418	0.000271589	0.000137496	0.00062602	0.000542936	0.000649644	0	0.00240799	0.001154498	0	0.00014126	0.000595754	0.00281227	0.000749927	0.000395945	0.001213091	0.000935354	0.000185083	0.00127089	0.002154037	0.003838918	0.00262371	0.002938273	0.000358416	0.000302985	0.001911877	0.002372231	0.00114044	0.001189792	0	0	0.001278648	0.000466542	0.000461493	0.000761761	0	0.001637465	0.002412888	0.003081178	0.001472865	0.00213672	0.001461269	0.001934833	0.002384186	0.000691385	0.000882298	0.0003938	0.000212007	0.000170983
